token_id,token_str,count,avg_expert_size,avg_expert_size_excluding_null,null_fraction
54598,-MS,34,91.61,256.0,0.642157
22914, quo,207,91.63,256.0,0.642059
43299,writers,77,91.64,256.0,0.642045
55269, Scouting,22,91.64,256.0,0.642045
56560, Cervantes,38,91.65,256.0,0.641996
58687, IOL,8,91.67,256.0,0.641927
56029,plating,41,91.71,256.0,0.641768
30057,IGH,28,91.71,256.0,0.641741
53818, zombies,48,91.72,256.0,0.64171
61082,-priced,48,91.72,256.0,0.64171
7984,sylvania,5,91.73,256.0,0.641667
28670, nonfiction,107,91.76,256.0,0.64155
48816, upstairs,52,91.79,256.0,0.641426
62574, alpaca,30,91.82,256.0,0.641319
4857,astern,77,91.84,256.0,0.641234
42790,-ster,27,91.85,256.0,0.641204
34613,espace,38,91.86,256.0,0.641173
50202, resection,136,91.86,256.0,0.641161
46414, Nephi,78,91.86,256.0,0.641159
54454,sies,64,91.88,256.0,0.641113
37855,stairs,52,91.9,256.0,0.641026
45250, indigo,52,91.9,256.0,0.641026
45221,umab,38,91.93,256.0,0.640899
48325, fescue,57,91.93,256.0,0.640899
19856,-sm,116,91.93,256.0,0.640894
55705, Nui,25,91.95,256.0,0.640833
50280,-environment,52,91.95,256.0,0.640825
60429,ом,66,91.96,256.0,0.640783
6010,riting,74,91.96,256.0,0.640766
53710,evil,70,92.0,256.0,0.640625
62852, boxwood,8,92.0,256.0,0.640625
23107,iagnosis,71,92.02,256.0,0.640552
48905, riboflavin,78,92.03,256.0,0.640491
43772,б,132,92.06,256.0,0.640388
14564,acteria,19,92.07,256.0,0.640351
63195, UDL,17,92.08,256.0,0.640319
50384,inosis,54,92.1,256.0,0.640239
11291,isciplinary,39,92.1,256.0,0.640224
62593, Kubernetes,26,92.1,256.0,0.640224
48295,-September,55,92.12,256.0,0.640152
56878,mandu,11,92.12,256.0,0.640152
42555,px,114,92.14,256.0,0.640077
55312,roglyphs,9,92.15,256.0,0.640046
33946,orbid,52,92.15,256.0,0.640024
64857,‘i,41,92.16,256.0,0.63999
61253, HRT,62,92.17,256.0,0.639953
35663,heels,99,92.18,256.0,0.639941
34645, whitening,72,92.19,256.0,0.639902
59655, turfgrass,35,92.19,256.0,0.639881
47059,utant,77,92.23,256.0,0.639746
17457,irected,207,92.23,256.0,0.639744
10467,xual,25,92.27,256.0,0.639583
43577, SOLUTION,35,92.27,256.0,0.639583
50213, topically,76,92.32,256.0,0.639391
60083, trawling,45,92.33,256.0,0.639352
63911, tetracycline,48,92.33,256.0,0.639323
57243,aS,43,92.34,256.0,0.639293
65180,akah,41,92.36,256.0,0.639228
5714,ditionally,11,92.36,256.0,0.639205
47753,osteroid,14,92.38,256.0,0.639137
11107,thal,247,92.38,256.0,0.639128
55648,eze,34,92.39,256.0,0.639093
27128,ITES,39,92.44,256.0,0.638889
61759, Idioms,27,92.44,256.0,0.638889
58340,istive,43,92.47,256.0,0.638808
20220,opathic,158,92.52,256.0,0.638581
24399,-meter,191,92.52,256.0,0.63858
34123, ______,109,92.55,256.0,0.638475
21163,ractice,46,92.58,256.0,0.638361
63423, Paleozoic,25,92.59,256.0,0.638333
63509, COUNTY,25,92.59,256.0,0.638333
53398, Deere,104,92.59,256.0,0.638321
50586,ovisual,11,92.61,256.0,0.638258
9233,-American,1021,92.62,256.0,0.638192
34249,omial,72,92.63,256.0,0.638166
65260,rectomy,38,92.63,256.0,0.638158
65086,lius,126,92.66,256.0,0.638062
24967,zzle,57,92.68,256.0,0.637975
34200,-harm,143,92.68,256.0,0.637966
55753,culoskeletal,37,92.68,256.0,0.63795
63073,-usual,32,92.75,256.0,0.637695
21177,otrop,97,92.76,256.0,0.637672
38976,uchs,103,92.76,256.0,0.637642
51010, nitride,47,92.77,256.0,0.637633
34383,termination,25,92.8,256.0,0.6375
65388, Tarzan,5,92.8,256.0,0.6375
49850,-yourself,54,92.84,256.0,0.637346
51775, Technician,61,92.85,256.0,0.637295
47785,ococci,68,92.86,256.0,0.637255
8229,ecess,6,92.89,256.0,0.637153
54748,ahertz,19,92.91,256.0,0.637061
62536, INDEX,19,92.91,256.0,0.637061
58424,culine,39,92.92,256.0,0.637019
27937,bish,21,92.95,256.0,0.636905
49148,-discrimination,86,92.96,256.0,0.63687
57063,ANY,22,92.97,256.0,0.636837
6480,irds,27,93.04,256.0,0.636574
63862, chlorination,27,93.04,256.0,0.636574
61935, purifiers,49,93.06,256.0,0.63648
10197,ieth,113,93.1,256.0,0.636338
27399,ethoven,12,93.11,256.0,0.636285
50773,richment,26,93.13,256.0,0.636218
59111,utered,15,93.16,256.0,0.636111
43945,oxifen,37,93.19,256.0,0.63598
55934,-maintenance,45,93.21,256.0,0.63588
47333,-wire,47,93.22,256.0,0.63586
50317,-platform,57,93.24,256.0,0.635782
52742,wolves,41,93.27,256.0,0.635671
21434,otyping,87,93.27,256.0,0.635656
32418,roviral,55,93.28,256.0,0.635606
61431,emocratic,56,93.29,256.0,0.635603
62374,iscrimination,62,93.29,256.0,0.635585
20278, ageing,289,93.31,256.0,0.635525
